state,county,population,age_group,gender_name
Colorado,Adams,511868,All Ages,Other
Colorado,Adams,258470,All Ages,Male
Colorado,Adams,253398,All Ages,Female
Colorado,Adams,36180,Age 0 to 4 years,Other
Colorado,Adams,18387,Age 0 to 4 years,Male
Colorado,Adams,17793,Age 0 to 4 years,Female
Colorado,Adams,37711,Age 5 to 9 years,Other
Colorado,Adams,19250,Age 5 to 9 years,Male
Colorado,Adams,18461,Age 5 to 9 years,Female
Colorado,Adams,39279,Age 10 to 14 years,Other
Colorado,Adams,20052,Age 10 to 14 years,Male
Colorado,Adams,19227,Age 10 to 14 years,Female
Colorado,Adams,35091,Age 15 to 19 years,Other
Colorado,Adams,18097,Age 15 to 19 years,Male
Colorado,Adams,16994,Age 15 to 19 years,Female
Colorado,Adams,31852,Age 20 to 24 years,Other
Colorado,Adams,16330,Age 20 to 24 years,Male
Colorado,Adams,15522,Age 20 to 24 years,Female
Colorado,Adams,41126,Age 25 to 29 years,Other
Colorado,Adams,21310,Age 25 to 29 years,Male
Colorado,Adams,19816,Age 25 to 29 years,Female
Colorado,Adams,42569,Age 30 to 34 years,Other
Colorado,Adams,22092,Age 30 to 34 years,Male
Colorado,Adams,20477,Age 30 to 34 years,Female
Colorado,Adams,40637,Age 35 to 39 years,Other
Colorado,Adams,20960,Age 35 to 39 years,Male
Colorado,Adams,19677,Age 35 to 39 years,Female
Colorado,Adams,34887,Age 40 to 44 years,Other
Colorado,Adams,18133,Age 40 to 44 years,Male
Colorado,Adams,16754,Age 40 to 44 years,Female
Colorado,Adams,33417,Age 45 to 49 years,Other
Colorado,Adams,17072,Age 45 to 49 years,Male
Colorado,Adams,16345,Age 45 to 49 years,Female
Colorado,Adams,30002,Age 50 to 54 years,Other
Colorado,Adams,15209,Age 50 to 54 years,Male
Colorado,Adams,14793,Age 50 to 54 years,Female
Colorado,Adams,30061,Age 55 to 59 years,Other
Colorado,Adams,14988,Age 55 to 59 years,Male
Colorado,Adams,15073,Age 55 to 59 years,Female
Colorado,Adams,25469,Age 60 to 64 years,Other
Colorado,Adams,12545,Age 60 to 64 years,Male
Colorado,Adams,12924,Age 60 to 64 years,Female
Colorado,Adams,19515,Age 65 to 69 years,Other
Colorado,Adams,9274,Age 65 to 69 years,Male
Colorado,Adams,10241,Age 65 to 69 years,Female
Colorado,Adams,13908,Age 70 to 74 years,Other
Colorado,Adams,6475,Age 70 to 74 years,Male
Colorado,Adams,7433,Age 70 to 74 years,Female
Colorado,Adams,8873,Age 75 to 79 years,Other
Colorado,Adams,3812,Age 75 to 79 years,Male
Colorado,Adams,5061,Age 75 to 79 years,Female
Colorado,Adams,5829,Age 80 to 84 years,Other
Colorado,Adams,2438,Age 80 to 84 years,Male
Colorado,Adams,3391,Age 80 to 84 years,Female
Colorado,Adams,5462,Age 85 years and older,Other
Colorado,Adams,2046,Age 85 years and older,Male
Colorado,Adams,3416,Age 85 years and older,Female
Colorado,Adams,135776,Under 18 years,Other
Colorado,Adams,69246,Under 18 years,Male
Colorado,Adams,66530,Under 18 years,Female
Colorado,Adams,69254,5 to 13 years,Other
Colorado,Adams,35366,5 to 13 years,Male
Colorado,Adams,33888,5 to 13 years,Female
Colorado,Adams,30342,14 to 17 years,Other
Colorado,Adams,15493,14 to 17 years,Male
Colorado,Adams,14849,14 to 17 years,Female
Colorado,Adams,322505,18 to 64 years,Other
Colorado,Adams,165179,18 to 64 years,Male
Colorado,Adams,157326,18 to 64 years,Female
Colorado,Adams,44337,18 to 24 years,Other
Colorado,Adams,22870,18 to 24 years,Male
Colorado,Adams,21467,18 to 24 years,Female
Colorado,Adams,159219,25 to 44 years,Other
Colorado,Adams,59814,45 to 64 years,Male
Colorado,Adams,82495,25 to 44 years,Male
Colorado,Adams,76724,25 to 44 years,Female
Colorado,Adams,118949,45 to 64 years,Other
Colorado,Adams,59135,45 to 64 years,Female
Colorado,Adams,53587,65 years and over,Other
Colorado,Adams,24045,65 years and over,Male
Colorado,Adams,29542,65 years and over,Female
Colorado,Adams,5462,85 years and over,Other
Colorado,Adams,2046,85 years and over,Male
Colorado,Adams,3416,85 years and over,Female
Colorado,Adams,390915,16 years and over,Other
Colorado,Adams,196790,16 years and over,Male
Colorado,Adams,194125,16 years and over,Female
Colorado,Adams,376092,18 years and over,Other
Colorado,Adams,189224,18 years and over,Male
Colorado,Adams,186868,18 years and over,Female
Colorado,Adams,226162,15 to 44 years,Other
Colorado,Adams,116922,15 to 44 years,Male
Colorado,Adams,109240,15 to 44 years,Female
Colorado,Adams,34,Median age,Other
Colorado,Adams,34,Median age,Male
Colorado,Adams,35,Median age,Female
Colorado,Alamosa,16683,All Ages,Other
Colorado,Alamosa,8361,All Ages,Male
Colorado,Alamosa,8322,All Ages,Female
Colorado,Alamosa,1088,Age 0 to 4 years,Other
Colorado,Alamosa,569,Age 0 to 4 years,Male
Colorado,Alamosa,519,Age 0 to 4 years,Female
Colorado,Alamosa,1208,Age 5 to 9 years,Other
Colorado,Alamosa,652,Age 5 to 9 years,Male
Colorado,Alamosa,556,Age 5 to 9 years,Female
Colorado,Alamosa,1074,Age 10 to 14 years,Other
Colorado,Alamosa,573,Age 10 to 14 years,Male
Colorado,Alamosa,501,Age 10 to 14 years,Female
Colorado,Alamosa,1716,Age 15 to 19 years,Other
Colorado,Alamosa,851,Age 15 to 19 years,Male
Colorado,Alamosa,865,Age 15 to 19 years,Female
Colorado,Alamosa,1827,Age 20 to 24 years,Other
Colorado,Alamosa,893,Age 20 to 24 years,Male
Colorado,Alamosa,934,Age 20 to 24 years,Female
Colorado,Alamosa,1262,Age 25 to 29 years,Other
Colorado,Alamosa,658,Age 25 to 29 years,Male
Colorado,Alamosa,604,Age 25 to 29 years,Female
Colorado,Alamosa,1065,Age 30 to 34 years,Other
Colorado,Alamosa,543,Age 30 to 34 years,Male
Colorado,Alamosa,522,Age 30 to 34 years,Female
Colorado,Alamosa,972,Age 35 to 39 years,Other
Colorado,Alamosa,476,Age 35 to 39 years,Male
Colorado,Alamosa,496,Age 35 to 39 years,Female
Colorado,Alamosa,836,Age 40 to 44 years,Other
Colorado,Alamosa,426,Age 40 to 44 years,Male
Colorado,Alamosa,410,Age 40 to 44 years,Female
Colorado,Alamosa,745,Age 45 to 49 years,Other
Colorado,Alamosa,388,Age 45 to 49 years,Male
Colorado,Alamosa,357,Age 45 to 49 years,Female
