state,county,population,age_group,gender_name
Arkansas,Boone,37480,All Ages,Other
Arkansas,Boone,18443,All Ages,Male
Arkansas,Boone,19037,All Ages,Female
Arkansas,Boone,2387,Age 0 to 4 years,Other
Arkansas,Boone,1232,Age 0 to 4 years,Male
Arkansas,Boone,1155,Age 0 to 4 years,Female
Arkansas,Boone,2317,Age 5 to 9 years,Other
Arkansas,Boone,1211,Age 5 to 9 years,Male
Arkansas,Boone,1106,Age 5 to 9 years,Female
Arkansas,Boone,2484,Age 10 to 14 years,Other
Arkansas,Boone,1265,Age 10 to 14 years,Male
Arkansas,Boone,1219,Age 10 to 14 years,Female
Arkansas,Boone,2138,Age 15 to 19 years,Other
Arkansas,Boone,1146,Age 15 to 19 years,Male
Arkansas,Boone,992,Age 15 to 19 years,Female
