state,county,population,age_group,gender_name
Arkansas,Carroll,28223,All Ages,Other
Arkansas,Carroll,14047,All Ages,Male
Arkansas,Carroll,14176,All Ages,Female
Arkansas,Carroll,1654,Age 0 to 4 years,Other
Arkansas,Carroll,864,Age 0 to 4 years,Male
Arkansas,Carroll,790,Age 0 to 4 years,Female
Arkansas,Carroll,1613,Age 5 to 9 years,Other
Arkansas,Carroll,803,Age 5 to 9 years,Male
Arkansas,Carroll,810,Age 5 to 9 years,Female
Arkansas,Carroll,1759,Age 10 to 14 years,Other
Arkansas,Carroll,879,Age 10 to 14 years,Male
Arkansas,Carroll,880,Age 10 to 14 years,Female
Arkansas,Carroll,1673,Age 15 to 19 years,Other
Arkansas,Carroll,866,Age 15 to 19 years,Male
Arkansas,Carroll,807,Age 15 to 19 years,Female
Arkansas,Carroll,1487,Age 20 to 24 years,Other
Arkansas,Carroll,806,Age 20 to 24 years,Male
Arkansas,Carroll,681,Age 20 to 24 years,Female
Arkansas,Carroll,1534,Age 25 to 29 years,Other
Arkansas,Carroll,790,Age 25 to 29 years,Male
Arkansas,Carroll,744,Age 25 to 29 years,Female
Arkansas,Carroll,1452,Age 30 to 34 years,Other
Arkansas,Carroll,730,Age 30 to 34 years,Male
Arkansas,Carroll,722,Age 30 to 34 years,Female
Arkansas,Carroll,1488,Age 35 to 39 years,Other
Arkansas,Carroll,754,Age 35 to 39 years,Male
Arkansas,Carroll,734,Age 35 to 39 years,Female
Arkansas,Carroll,1487,Age 40 to 44 years,Other
Arkansas,Carroll,715,Age 40 to 44 years,Male
Arkansas,Carroll,772,Age 40 to 44 years,Female
Arkansas,Carroll,1623,Age 45 to 49 years,Other
Arkansas,Carroll,818,Age 45 to 49 years,Male
Arkansas,Carroll,805,Age 45 to 49 years,Female
Arkansas,Carroll,1741,Age 50 to 54 years,Other
Arkansas,Carroll,865,Age 50 to 54 years,Male
Arkansas,Carroll,876,Age 50 to 54 years,Female
Arkansas,Carroll,1985,Age 55 to 59 years,Other
Arkansas,Carroll,999,Age 55 to 59 years,Male
Arkansas,Carroll,986,Age 55 to 59 years,Female
Arkansas,Carroll,2183,Age 60 to 64 years,Other
Arkansas,Carroll,1019,Age 60 to 64 years,Male
Arkansas,Carroll,1164,Age 60 to 64 years,Female
Arkansas,Carroll,2190,Age 65 to 69 years,Other
Arkansas,Carroll,1091,Age 65 to 69 years,Male
Arkansas,Carroll,1099,Age 65 to 69 years,Female
Arkansas,Carroll,1807,Age 70 to 74 years,Other
Arkansas,Carroll,910,Age 70 to 74 years,Male
Arkansas,Carroll,897,Age 70 to 74 years,Female
Arkansas,Carroll,1206,Age 75 to 79 years,Other
Arkansas,Carroll,590,Age 75 to 79 years,Male
Arkansas,Carroll,616,Age 75 to 79 years,Female
Arkansas,Carroll,705,Age 80 to 84 years,Other
Arkansas,Carroll,307,Age 80 to 84 years,Male
Arkansas,Carroll,398,Age 80 to 84 years,Female
Arkansas,Carroll,636,Age 85 years and older,Other
Arkansas,Carroll,241,Age 85 years and older,Male
Arkansas,Carroll,395,Age 85 years and older,Female
Arkansas,Carroll,6065,Under 18 years,Other
Arkansas,Carroll,3071,Under 18 years,Male
Arkansas,Carroll,2994,Under 18 years,Female
Arkansas,Carroll,3029,5 to 13 years,Other
Arkansas,Carroll,1513,5 to 13 years,Male
Arkansas,Carroll,1516,5 to 13 years,Female
Arkansas,Carroll,1382,14 to 17 years,Other
Arkansas,Carroll,694,14 to 17 years,Male
Arkansas,Carroll,688,14 to 17 years,Female
Arkansas,Carroll,15614,18 to 64 years,Other
Arkansas,Carroll,7837,18 to 64 years,Male
Arkansas,Carroll,7777,18 to 64 years,Female
Arkansas,Carroll,2121,18 to 24 years,Other
Arkansas,Carroll,1147,18 to 24 years,Male
Arkansas,Carroll,974,18 to 24 years,Female
Arkansas,Carroll,5961,25 to 44 years,Other
Arkansas,Carroll,2989,25 to 44 years,Male
Arkansas,Carroll,2972,25 to 44 years,Female
Arkansas,Carroll,7532,45 to 64 years,Other
Arkansas,Carroll,3701,45 to 64 years,Male
Arkansas,Carroll,3831,45 to 64 years,Female
Arkansas,Carroll,6544,65 years and over,Other
Arkansas,Carroll,3139,65 years and over,Male
Arkansas,Carroll,3405,65 years and over,Female
Arkansas,Carroll,636,85 years and over,Other
Arkansas,Carroll,241,85 years and over,Male
Arkansas,Carroll,395,85 years and over,Female
Arkansas,Carroll,22854,16 years and over,Other
Arkansas,Carroll,10976,18 years and over,Male
Arkansas,Carroll,11325,16 years and over,Male
Arkansas,Carroll,11529,16 years and over,Female
Arkansas,Carroll,22158,18 years and over,Other
Arkansas,Carroll,11182,18 years and over,Female
Arkansas,Carroll,9121,15 to 44 years,Other
Arkansas,Carroll,4661,15 to 44 years,Male
Arkansas,Carroll,4460,15 to 44 years,Female
Arkansas,Carroll,45,Median age,Other
Arkansas,Carroll,44,Median age,Male
Arkansas,Carroll,46,Median age,Female
