state,county,population,age_group,gender_name
Arizona,Navajo,110445,All Ages,Other
Arizona,Navajo,55281,All Ages,Male
Arizona,Navajo,55164,All Ages,Female
Arizona,Navajo,7673,Age 0 to 4 years,Other
Arizona,Navajo,3851,Age 0 to 4 years,Male
Arizona,Navajo,3822,Age 0 to 4 years,Female
Arizona,Navajo,8253,Age 5 to 9 years,Other
Arizona,Navajo,4257,Age 5 to 9 years,Male
Arizona,Navajo,3996,Age 5 to 9 years,Female
Arizona,Navajo,8737,Age 10 to 14 years,Other
Arizona,Navajo,4435,Age 10 to 14 years,Male
Arizona,Navajo,4302,Age 10 to 14 years,Female
Arizona,Navajo,7623,Age 15 to 19 years,Other
Arizona,Navajo,3893,Age 15 to 19 years,Male
Arizona,Navajo,3730,Age 15 to 19 years,Female
Arizona,Navajo,6344,Age 20 to 24 years,Other
Arizona,Navajo,3379,Age 20 to 24 years,Male
Arizona,Navajo,2965,Age 20 to 24 years,Female
Arizona,Navajo,7125,Age 25 to 29 years,Other
Arizona,Navajo,3788,Age 25 to 29 years,Male
Arizona,Navajo,3337,Age 25 to 29 years,Female
Arizona,Navajo,6247,Age 30 to 34 years,Other
Arizona,Navajo,3252,Age 30 to 34 years,Male
Arizona,Navajo,2995,Age 30 to 34 years,Female
Arizona,Navajo,6167,Age 35 to 39 years,Other
Arizona,Navajo,3148,Age 35 to 39 years,Male
Arizona,Navajo,3019,Age 35 to 39 years,Female
Arizona,Navajo,5685,Age 40 to 44 years,Other
Arizona,Navajo,2937,Age 40 to 44 years,Male
Arizona,Navajo,2748,Age 40 to 44 years,Female
Arizona,Navajo,5824,Age 45 to 49 years,Other
Arizona,Navajo,2927,Age 45 to 49 years,Male
Arizona,Navajo,2897,Age 45 to 49 years,Female
Arizona,Navajo,6202,Age 50 to 54 years,Other
Arizona,Navajo,3001,Age 50 to 54 years,Male
Arizona,Navajo,3201,Age 50 to 54 years,Female
Arizona,Navajo,7239,Age 55 to 59 years,Other
Arizona,Navajo,3443,Age 55 to 59 years,Male
Arizona,Navajo,3796,Age 55 to 59 years,Female
Arizona,Navajo,7316,Age 60 to 64 years,Other
Arizona,Navajo,3511,Age 60 to 64 years,Male
Arizona,Navajo,3805,Age 60 to 64 years,Female
Arizona,Navajo,6709,Age 65 to 69 years,Other
Arizona,Navajo,3176,Age 65 to 69 years,Male
Arizona,Navajo,3533,Age 65 to 69 years,Female
Arizona,Navajo,5398,Age 70 to 74 years,Other
Arizona,Navajo,2658,Age 70 to 74 years,Male
Arizona,Navajo,2740,Age 70 to 74 years,Female
Arizona,Navajo,3787,Age 75 to 79 years,Other
Arizona,Navajo,1811,Age 75 to 79 years,Male
Arizona,Navajo,1976,Age 75 to 79 years,Female
Arizona,Navajo,2309,Age 80 to 84 years,Other
Arizona,Navajo,1069,Age 80 to 84 years,Male
Arizona,Navajo,1240,Age 80 to 84 years,Female
Arizona,Navajo,1807,Age 85 years and older,Other
Arizona,Navajo,745,Age 85 years and older,Male
Arizona,Navajo,1062,Age 85 years and older,Female
Arizona,Navajo,29472,Under 18 years,Other
Arizona,Navajo,14952,Under 18 years,Male
Arizona,Navajo,14520,Under 18 years,Female
Arizona,Navajo,15275,5 to 13 years,Other
Arizona,Navajo,7800,5 to 13 years,Male
Arizona,Navajo,7475,5 to 13 years,Female
Arizona,Navajo,6524,14 to 17 years,Other
Arizona,Navajo,3301,14 to 17 years,Male
Arizona,Navajo,3223,14 to 17 years,Female
Arizona,Navajo,60963,18 to 64 years,Other
Arizona,Navajo,30870,18 to 64 years,Male
Arizona,Navajo,30093,18 to 64 years,Female
Arizona,Navajo,9158,18 to 24 years,Other
Arizona,Navajo,4863,18 to 24 years,Male
Arizona,Navajo,4295,18 to 24 years,Female
Arizona,Navajo,25224,25 to 44 years,Other
Arizona,Navajo,13125,25 to 44 years,Male
Arizona,Navajo,12099,25 to 44 years,Female
Arizona,Navajo,26581,45 to 64 years,Other
Arizona,Navajo,12882,45 to 64 years,Male
Arizona,Navajo,13699,45 to 64 years,Female
Arizona,Navajo,20010,65 years and over,Other
Arizona,Navajo,9459,65 years and over,Male
Arizona,Navajo,10551,65 years and over,Female
Arizona,Navajo,1807,85 years and over,Other
Arizona,Navajo,745,85 years and over,Male
Arizona,Navajo,1062,85 years and over,Female
Arizona,Navajo,84208,16 years and over,Other
Arizona,Navajo,41948,16 years and over,Male
Arizona,Navajo,42260,16 years and over,Female
Arizona,Navajo,80973,18 years and over,Other
Arizona,Navajo,40329,18 years and over,Male
Arizona,Navajo,40644,18 years and over,Female
Arizona,Navajo,39191,15 to 44 years,Other
Arizona,Navajo,20397,15 to 44 years,Male
Arizona,Navajo,18794,15 to 44 years,Female
Arizona,Navajo,38,Median age,Other
Arizona,Navajo,36,Median age,Male
Arizona,Navajo,39,Median age,Female
