state,county,population,age_group,gender_name
Arkansas,Boone,37480,All Ages,Other
Arkansas,Boone,18443,All Ages,Male
Arkansas,Boone,19037,All Ages,Female
Arkansas,Boone,2387,Age 0 to 4 years,Other
Arkansas,Boone,1232,Age 0 to 4 years,Male
Arkansas,Boone,1155,Age 0 to 4 years,Female
Arkansas,Boone,2317,Age 5 to 9 years,Other
Arkansas,Boone,1211,Age 5 to 9 years,Male
Arkansas,Boone,1106,Age 5 to 9 years,Female
Arkansas,Boone,2484,Age 10 to 14 years,Other
Arkansas,Boone,1265,Age 10 to 14 years,Male
Arkansas,Boone,1219,Age 10 to 14 years,Female
Arkansas,Boone,2138,Age 15 to 19 years,Other
Arkansas,Boone,1146,Age 15 to 19 years,Male
Arkansas,Boone,992,Age 15 to 19 years,Female
Arkansas,Boone,1989,Age 20 to 24 years,Other
Arkansas,Boone,1003,Age 20 to 24 years,Male
Arkansas,Boone,986,Age 20 to 24 years,Female
Arkansas,Boone,2374,Age 25 to 29 years,Other
Arkansas,Boone,1202,Age 25 to 29 years,Male
Arkansas,Boone,1172,Age 25 to 29 years,Female
Arkansas,Boone,2022,Age 30 to 34 years,Other
Arkansas,Boone,1009,Age 30 to 34 years,Male
Arkansas,Boone,1013,Age 30 to 34 years,Female
Arkansas,Boone,2191,Age 35 to 39 years,Other
Arkansas,Boone,1113,Age 35 to 39 years,Male
Arkansas,Boone,1078,Age 35 to 39 years,Female
Arkansas,Boone,2071,Age 40 to 44 years,Other
Arkansas,Boone,1024,Age 40 to 44 years,Male
Arkansas,Boone,1047,Age 40 to 44 years,Female
Arkansas,Boone,2307,Age 45 to 49 years,Other
Arkansas,Boone,1130,Age 45 to 49 years,Male
Arkansas,Boone,1177,Age 45 to 49 years,Female
Arkansas,Boone,2368,Age 50 to 54 years,Other
Arkansas,Boone,1153,Age 50 to 54 years,Male
Arkansas,Boone,1215,Age 50 to 54 years,Female
Arkansas,Boone,2684,Age 55 to 59 years,Other
Arkansas,Boone,1315,Age 55 to 59 years,Male
Arkansas,Boone,1369,Age 55 to 59 years,Female
Arkansas,Boone,2405,Age 60 to 64 years,Other
Arkansas,Boone,1143,Age 60 to 64 years,Male
Arkansas,Boone,1262,Age 60 to 64 years,Female
Arkansas,Boone,2279,Age 65 to 69 years,Other
Arkansas,Boone,1061,Age 65 to 69 years,Male
Arkansas,Boone,1218,Age 65 to 69 years,Female
Arkansas,Boone,2069,Age 70 to 74 years,Other
Arkansas,Boone,982,Age 70 to 74 years,Male
Arkansas,Boone,1087,Age 70 to 74 years,Female
Arkansas,Boone,1493,Age 75 to 79 years,Other
Arkansas,Boone,659,Age 75 to 79 years,Male
Arkansas,Boone,834,Age 75 to 79 years,Female
Arkansas,Boone,970,Age 80 to 84 years,Other
Arkansas,Boone,424,Age 80 to 84 years,Male
Arkansas,Boone,546,Age 80 to 84 years,Female
Arkansas,Boone,932,Age 85 years and older,Other
Arkansas,Boone,371,Age 85 years and older,Male
Arkansas,Boone,561,Age 85 years and older,Female
Arkansas,Boone,8593,Under 18 years,Other
Arkansas,Boone,4452,Under 18 years,Male
Arkansas,Boone,4141,Under 18 years,Female
Arkansas,Boone,4286,5 to 13 years,Other
Arkansas,Boone,2192,5 to 13 years,Male
Arkansas,Boone,892,14 to 17 years,Female
Arkansas,Boone,2094,5 to 13 years,Female
Arkansas,Boone,1920,14 to 17 years,Other
Arkansas,Boone,1028,14 to 17 years,Male
Arkansas,Boone,21144,18 to 64 years,Other
Arkansas,Boone,10494,18 to 64 years,Male
Arkansas,Boone,10650,18 to 64 years,Female
Arkansas,Boone,2722,18 to 24 years,Other
Arkansas,Boone,1405,18 to 24 years,Male
Arkansas,Boone,1317,18 to 24 years,Female
Arkansas,Boone,8658,25 to 44 years,Other
Arkansas,Boone,4348,25 to 44 years,Male
Arkansas,Boone,4310,25 to 44 years,Female
Arkansas,Boone,9764,45 to 64 years,Other
Arkansas,Boone,4741,45 to 64 years,Male
Arkansas,Boone,5023,45 to 64 years,Female
Arkansas,Boone,7743,65 years and over,Other
Arkansas,Boone,3497,65 years and over,Male
Arkansas,Boone,4246,65 years and over,Female
Arkansas,Boone,932,85 years and over,Other
Arkansas,Boone,371,85 years and over,Male
Arkansas,Boone,561,85 years and over,Female
Arkansas,Boone,29849,16 years and over,Other
Arkansas,Boone,14509,16 years and over,Male
Arkansas,Boone,15340,16 years and over,Female
Arkansas,Boone,28887,18 years and over,Other
Arkansas,Boone,13991,18 years and over,Male
Arkansas,Boone,14896,18 years and over,Female
Arkansas,Boone,12785,15 to 44 years,Other
Arkansas,Boone,6497,15 to 44 years,Male
Arkansas,Boone,6288,15 to 44 years,Female
Arkansas,Boone,42,Median age,Other
Arkansas,Boone,40,Median age,Male
Arkansas,Boone,44,Median age,Female
